"var","par","lab","mean","se_mean","sd","X2.5.","X10.","X50.","X90.","X97.5.","n_eff","Rhat"
"tn","b_auto_s","autoS",0.893582327346786,0.000835122437064271,0.0617783748894223,0.771813252557965,0.814125834999338,0.894231231503584,0.97084807002972,1.01328318285861,5472.33474734725,0.999403183225794
"tn","a_s[1]","Sa",0.0246371466018451,0.0041912602582354,0.170950843047465,-0.310519729085785,-0.179418787082578,0.0234601729041922,0.230862562418624,0.379777934532946,1663.61656072648,1.00221312671549
"tn","a_s[2]","Ly",-0.0166132381493352,0.00552965977219312,0.251772685076592,-0.536345100654837,-0.322048139973755,-0.0131777425905186,0.281048180662684,0.483695706171011,2073.10071390634,1.00029877528335
"tn","a_s[3]","Ol",0.0554781947073795,0.00404396132625395,0.163567678543187,-0.271981635053887,-0.140329854436214,0.0574333773723928,0.250012716700706,0.371506497623236,1635.99131050853,1.00374735778768
"tn","a_s[4]","Br",0.32934622181408,0.00361345215803864,0.131410457319654,0.0772657848208575,0.166850637715343,0.32634338296035,0.483033156856473,0.596438264366628,1322.55954825827,1.00388777300447
"tn","a_s[5]","Fe",0.0935064194469588,0.00331531940242872,0.113344810680756,-0.12479926429771,-0.0445273946371722,0.0947015176949446,0.229027140831414,0.327864890230291,1168.8331818971,1.00376859409313
"tn","a_s[6]","D4",0.0913270125300315,0.00258276295145668,0.0948640475744248,-0.0945836337950906,-0.0226434451208283,0.0924954995517878,0.205960062024229,0.288174298468485,1349.06913270116,1.00373612419189
"tn","a_s[7]","D8",0.021710238847625,0.00246547655651848,0.0909710531392286,-0.156323371262213,-0.0879962716773528,0.0214679273341012,0.134143823473076,0.205953774702223,1361.45938558966,1.00429988049269
"tn","a_s[8]","L4",-0.226432390186103,0.00277568033041042,0.0985403090832967,-0.423107958113085,-0.34716508065285,-0.226859095648434,-0.107140261096088,-0.0294933985179286,1260.34355433724,1.00351519838084
"tn","a_s[9]","L1",0.168653811715448,0.00399791204832157,0.151628904183934,-0.120557367654211,-0.0159605268088287,0.16608110795918,0.345925453645723,0.478165385966529,1438.45911112005,1.00333040617218
"tn","a_s[10]","Ls",-0.333010951222112,0.0030124658001153,0.104749643727997,-0.543753352294826,-0.461311927350612,-0.333101746633835,-0.206671591926547,-0.129203626394812,1209.09620693384,1.00394746632866
"tn","a_s[11]","Ln",-0.190894331893407,0.00259845072785041,0.0912042137867077,-0.366704017676803,-0.304519174113639,-0.189786325437892,-0.0827187437516476,-0.0123956842056418,1231.97199510408,1.00389111974084
