"site","x","rain1","rain1_p_ind","var","comparison","d050","d025","d975"
"D8",4,20,7,"nh3","NvS",0.00592450065859525,0.00249660256933526,0.0117284542930744
"D8",6,0,1,"nh3","SvR",0.00343285660587765,-0.00378866225402114,0.0074784864229785
"D8",7,2,3,"nh3","SvR",0.00427119117053989,-0.00423139637329607,0.00913588766107358
"D8",8,8,5,"nh3","SvR",0.0053329828833201,-0.0050885319113862,0.011300522423225
"D8",9,20,7,"nh3","SvR",0.00629815613152344,-0.00573482267877494,0.0133322127222446
"D4",1,0,1,"nh3","NvS",0.00141343528191546,0.000309739257148229,0.00328322400580145
"D4",2,2,3,"nh3","NvS",0.00206043540815347,0.000677960161759444,0.00442978669918215
"D4",3,8,5,"nh3","NvS",0.00294833249401079,0.0011334246801845,0.00603660470437875
"D4",4,20,7,"nh3","NvS",0.00383339431593274,0.00155167538388248,0.00771423731621929
"D4",6,0,1,"nh3","SvR",0.00477111682088589,-0.00262758474807679,0.00952089507367374
"D4",7,2,3,"nh3","SvR",0.00613574839653759,-0.00252607332636333,0.0119909195933674
"D4",8,8,5,"nh3","SvR",0.00788722205026341,-0.00237221731367792,0.0151645477632332
"D4",9,20,7,"nh3","SvR",0.00956008928340495,-0.0025354107591099,0.018126198855947
"Ln",1,0,1,"nh3","NvS",0.0068193463055453,0.00175105811051805,0.0144095239438435
"Ln",2,2,3,"nh3","NvS",0.00973411902029236,0.00362302440722573,0.0191272940307876
"Ln",3,8,5,"nh3","NvS",0.013637446069215,0.00595546144651766,0.0260098193520676
"Ln",4,20,7,"nh3","NvS",0.0175192656634428,0.00796062350346864,0.0325805192017464
"Ln",6,0,1,"nh3","SvR",0.00165734980331116,-0.00852387082922556,0.00880107800850454
"Ln",7,2,3,"nh3","SvR",0.00164164940341801,-0.0106755406304715,0.00979691592611489
"Ln",8,8,5,"nh3","SvR",0.00147144239420713,-0.0130892514013858,0.0112751508106244
"Ln",9,20,7,"nh3","SvR",0.00134470583177256,-0.0159074479382111,0.0127741251117847
"L4",1,0,1,"nh3","NvS",0.00359690128543889,0.000797073033039672,0.00847799636420062
"L4",2,2,3,"nh3","NvS",0.00528188196735197,0.00174536516082202,0.0116198987165867
"L4",3,8,5,"nh3","NvS",0.00763566940229536,0.00291622638924885,0.0160299176179343
"L4",4,20,7,"nh3","NvS",0.0100277239736473,0.0039643879858012,0.0205223370020186
"L4",6,0,1,"nh3","SvR",0.0065286123717521,-0.00463993150576922,0.0159395453122166
"L4",7,2,3,"nh3","SvR",0.0083216996480743,-0.00516940018543213,0.0197534835515632
"L4",8,8,5,"nh3","SvR",0.0105521582793171,-0.00573659122898696,0.0245635894417348
"L4",9,20,7,"nh3","SvR",0.0126410232455854,-0.00648013285244645,0.0293032165244927
"Ls",1,0,1,"nh3","NvS",0.00598304500212246,0.00138652985007652,0.0137865309332553
"Ls",2,2,3,"nh3","NvS",0.00873092749664781,0.00302670979553229,0.0186974300673082
"Ls",3,8,5,"nh3","NvS",0.0125551158107505,0.00491907728682502,0.0260989244965712
"Ls",4,20,7,"nh3","NvS",0.0163895528076628,0.00673367573193862,0.0333721233781822
"Ls",6,0,1,"nh3","SvR",0.00493070440246103,-0.0068149535657499,0.0149865496302363
"Ls",7,2,3,"nh3","SvR",0.00594552571674932,-0.00814406551390269,0.0179913547609048
"Ls",8,8,5,"nh3","SvR",0.00718176356332148,-0.00993896230142906,0.0217718319361395
"Ls",9,20,7,"nh3","SvR",0.00829645360095337,-0.0118850314926938,0.0255652153657896
